date,symbol,name,market,score,rank,weight,close,volume,value,log_mcap,turnover,ret_60d,volatility_20d,value_traded,sector_key
2025-09-22,086520,에코프로,KOSDAQ GLOBAL,0.5708385766225833,26,0.022404649123996544,49550,358570,17887753725,29.537255686232772,0.0026588182547958184,0.1023359288097887,0.01531372264122217,23.60738216627066,KOSDAQ GLOBAL
2025-09-22,039030,이오테크닉스,KOSDAQ GLOBAL,0.5136081237832513,27,0.018427943060143774,246000,151369,37428081750,28.739784804343362,0.012350018773452586,0.45562130177514804,0.032647454812763814,24.345687108578062,KOSDAQ GLOBAL
2025-09-22,357780,솔브레인,KOSDAQ GLOBAL,0.5104890966420164,28,0.01479208890233177,286500,37578,10682147000,28.432376375537096,0.004793297479611579,0.6095505617977528,0.031896567222700026,23.091839680330807,KOSDAQ GLOBAL
2025-09-22,131970,두산테스나,KOSDAQ GLOBAL,0.47193785665974236,29,0.011374187677136155,41400,612667,25404715675,27.408062114085286,0.03175003460098882,0.46548672566371674,0.024929496323415592,23.958200650274293,KOSDAQ GLOBAL
2025-09-22,035900,JYP Ent.,KOSDAQ GLOBAL,0.40793028911871454,30,0.024808592716183075,77000,299882,23170985350,28.63751880428547,0.008468921562336175,0.04477611940298498,0.014163847944708713,23.86616670150414,KOSDAQ GLOBAL
2025-09-22,140610,엔솔바이오사이언스,KONEX,0.0,31,0.006018752197019421,14150,28888,409522060,25.96356225198699,0.002169928803095582,-0.4635829698132961,0.03522637659602651,19.830501332822173,KONEX
2025-09-22,000020,동화약품,KOSPI,-0.3894863292022155,32,0.03376017347130206,6320,124667,788021090,25.896739055261882,0.004464028614645557,-0.049624060150375904,0.008871971601285663,20.485035412692397,KOSPI
2025-09-22,000070,삼양홀딩스,KOSPI,0.015885126461237138,33,0.021164105046100435,94000,18375,1721712550,27.416964807769155,0.0021326722529431286,0.09941520467836251,0.014598304529147267,21.266585301608032,KOSPI
2025-09-22,000080,하이트진로,KOSPI,0.055646575371445836,34,0.044440241636298825,19110,114863,2197312200,27.923879746512423,0.0016394753065102382,-0.05396039603960401,0.005255177401840629,21.510500723575877,KOSPI
2025-09-22,000100,유한양행,KOSPI,0.9389067068677271,35,0.021137305194021527,123200,625387,76069852600,29.918706907369415,0.007721172570532137,0.18918918918918926,0.016230701521982947,25.05491786827792,KOSPI
2025-09-22,000105,유한양행우,KOSPI,-0.2533700480033151,36,0.01641995392163477,108000,6727,715521050,25.571707795600062,0.005610102890415607,0.10769230769230775,0.012332667143322585,20.38852157791163,KOSPI
2025-09-22,000120,CJ대한통운,KOSPI,0.01764173758391259,37,0.03334739802592767,83400,33564,2809934450,28.274215939274804,0.0014769310682114095,-0.04685714285714282,0.010941136606139561,21.756426992973722,KOSPI
2025-09-22,000150,두산,KOSPI,0.0708411270358536,38,0.016592529887230163,601000,67993,40663951000,29.92666465549071,0.004094720395901535,-0.0768049155145929,0.031814680822056,24.42860781211783,KOSPI
2025-09-22,000155,두산우,KOSPI,-0.30012915465503875,39,0.014083719594705677,346000,17209,5941944500,27.95511408172381,0.0042971132967109405,-0.12071156289707752,0.022945604484495594,22.505302273822036,KOSPI
2025-09-22,000210,DL,KOSPI,-0.2622687611276427,40,0.015373775247156721,37650,82237,3088223900,27.394018257316713,0.003914153140789805,-0.16518847006651882,0.010714375921388138,21.850861973280967,KOSPI
2025-09-22,000240,한국앤컴퍼니,KOSPI,0.17063058018973365,41,0.014131706417562565,22950,48766,1119347725,28.409778748391112,0.00051375360035707,0.22204472843450485,0.019362213375114755,20.836011965099942,KOSPI
2025-09-22,000270,기아,KOSPI,0.8631679306345241,42,0.03423623122341723,101900,737975,75236011350,30.677926588752758,0.0018749414099744127,0.04298874104401218,0.012449354981602073,25.04389582762688,KOSPI
2025-09-22,000320,노루홀딩스,KOSPI,-0.2839860911577178,43,0.011180984051151166,29250,40631,1195689275,26.68624388607291,0.0030756001351550225,0.23940677966101687,0.032917089664772636,20.901988656044704,KOSPI
2025-09-22,000370,한화손해보험,KOSPI,-0.3056189373632768,44,0.012927579250804264,6010,471595,2823622655,27.27663053106945,0.004024542640854244,0.05438596491228065,0.028307985717026606,21.761286527252807,KOSPI
2025-09-22,000400,롯데손해보험,KOSPI,-0.8549566001124598,45,0.013596693680646095,1949,3353270,6712037373,27.128238870096286,0.011097110765834257,0.09679234665166003,0.06146858000815099,22.62716837433181,KOSPI
2025-09-22,000480,CR홀딩스,KOSPI,-0.02616374056122117,46,0.050281969432525345,4975,1058548,5036187842,26.175506090597484,0.02158857934132471,-0.08379373848987104,0.002793209452735005,22.339915252472597,KOSPI
2025-09-22,000490,대동,KOSPI,-0.3793371200100024,47,0.020110469054696236,9790,96543,947020750,26.2777131589057,0.0036651662003431076,-0.06673021925643474,0.010264225771861729,20.668831563265083,KOSPI
2025-09-22,000500,가온전선,KOSPI,-0.27387460905333966,48,0.017948005120970716,59300,29054,1707977100,27.611845146132556,0.0017410452610054728,-0.0719874804381847,0.015767157094430603,21.25857552531425,KOSPI
2025-09-22,000520,삼일제약,KOSPI,-0.3331845065286983,49,0.0173456244452972,10810,256286,2729443875,26.180672284653106,0.01163999148686355,0.08752515090543267,0.026132555576512083,21.72736371696699,KOSPI
2025-09-22,000640,동아쏘시오홀딩스,KOSPI,-0.09479275676339272,50,0.02241528128303585,118000,28719,3385263500,27.371342218235384,0.0043890405271151765,0.058295964125560484,0.020576270508707604,21.942697584003287,KOSPI
